TSRID,SerialNumber,PartNumber,Operation,TesterName,TestName,TestVariation,ErrorCode,Operator,StartDateTime,EndDateTime,ProductionTest,TestSuiteName,ErrorDescription,MeasurementName,Value,Units,LowerLimit,UpperLimit,PegaCode,TicketID
202608040220425,S6A673400064,,PreProcess,PRCAL-PRE01,Boot Status Check,ML,0,s19170077,08/04/2026 10:20:42 AM,08/04/2026 10:20:43 AM,1,ML_PreProcess_1.00a_20260728,Success,,,,,,,NOTID
202608040220425,S6A673400064,,PreProcess,PRCAL-PRE01,Dsi_restore_factory_calibration,ML,0,s19170077,08/04/2026 10:20:43 AM,08/04/2026 10:20:46 AM,1,ML_PreProcess_1.00a_20260728,Success,,,,,,,NOTID
202608040220425,S6A673400064,,PreProcess,PRCAL-PRE01,Dsi_restore_factory_calibration,Retry Times,0,s19170077,08/04/2026 10:20:43 AM,08/04/2026 10:20:46 AM,1,ML_PreProcess_1.00a_20260728,,Retry Times,0,Times,0,1,,NOTID
202608040220425,S6A673400064,,PreProcess,PRCAL-PRE01,Pre_Process,ML,0,s19170077,08/04/2026 10:20:46 AM,08/04/2026 10:22:34 AM,1,ML_PreProcess_1.00a_20260728,Success,,,,,,,NOTID
202608040220425,S6A673400064,,PreProcess,PRCAL-PRE01,Pre_Process,Retry Times,0,s19170077,08/04/2026 10:20:46 AM,08/04/2026 10:22:34 AM,1,ML_PreProcess_1.00a_20260728,,Retry Times,0,Times,0,1,,NOTID
202608040220425,S6A673400064,,PreProcess,PRCAL-PRE01,TcsTestSuiteDuration,ML,0,s19170077,08/04/2026 10:22:34 AM,08/04/2026 10:22:34 AM,1,ML_PreProcess_1.00a_20260728,Success,Duration,112743.1732,ms,,,,NOTID
